d,eps,ADM,EDM,FP,speedup,label,combined
4,1,0.00003218,0.30639219,0,9521.199206,32μs\n307ms,9521.199206
4,2,0.00003461,0.318576272,0,9204.74636,35μs\n319ms,9204.74636
4,4,0.00004302,0.348352218,3,8097.44811,43μs\n348ms,32.38066217
4,8,,,,,,
8,1,0.00006011,0.981446512,0,16327.5081,60μs\n981ms,16327.5081
8,2,0.00009451,1.015001645,0,10739.62168,95μs\n1.01s,10739.62168
8,4,0.00015437,1.094610372,4,7090.823162,154μs\n1.09s,23.71125402
8,8,0.00017494,1.219288464,4,6969.752278,175μs\n1.22s,23.7517476
16,1,0.00012185,3.525864825,0,28936.10854,122μs\n3.53s,28936.10854
16,2,0.00020269,3.599634724,2,17759.31089,203μs\n3.60s,44.22328888
16,4,0.00043446,3.824609804,6,8803.134475,434μs\n3.82s,14.9717171
16,8,0.00090159,4.422478313,6,4905.198941,902μs\n4.42s,13.29402973
32,1,0.00025149,14.24021515,0,56623.38521,251μs\n14.24s,56623.38521
32,2,0.00042426,14.69928273,0,34646.87393,424μs\n14.70s,34646.87393
32,4,0.00094186,14.94736009,7,15870.04447,942μs\n14.95s,13.79150701
32,8,0.00252126,16.14641903,7,6404.107085,2.52ms\n16.15s,13.27691719
