d,eps,ADM,EDM,FP,speedup,label,combined
4,1,0.00003558,0.30926002,22,8691.962346,36μs\n309ms,2.634115065
4,2,0.00003901,0.323511813,8,8293.048262,39μs\n323ms,2.183714332
4,4,0.00004887,0.356798794,4,7300.977988,49μs\n357ms,2.029366997
4,8,,,,,,
8,1,0.00006871,0.985800271,33,14347.26053,69μs\n986ms,2.505178278
8,2,0.00010533,1.019072111,20,9737.066583,105μs\n1.02s,1.68079028
8,4,0.00016589,1.086218855,4,6604.434066,166μs\n1.09s,1.644724125
8,8,0.0001847,1.222906485,0,6681.97605,185μs\n1.22s,1.65078172
16,1,0.00013082,3.557742198,7,27195.70553,131μs\n3.56s,12.0483971
16,2,0.00022916,3.623064456,39,16428.68088,229μs\n3.62s,2.047388791
16,4,0.00044756,3.757800162,3,8875.149447,448μs\n3.76s,1.984555234
16,8,0.00092403,4.069385211,1,4694.120557,924μs\n4.07s,1.981876098
32,1,0.0002652,14.39296746,4,54272.12464,265μs\n14.39s,24.14961145
32,2,0.00046901,14.78184593,43,32587.01504,469μs\n14.78s,2.037350967
32,4,0.00098703,15.02574184,11,19089.48934,987μs\n15.02s,1.67772953
32,8,0.00258511,15.96863169,0,8456.669267,2.59ms\n15.97s,1.548480579
