d,eps,ADM,EDM,FP,speedup,label,combined
4,1,0.00004044,0.307193248,14,7596.272212,40μs\n307ms,6.880225094
4,2,0.00004498,0.362050233,3,8049.138126,45μs\n362ms,6.478080204
4,4,0.00005611,0.459174995,2,8183.478799,56μs\n459ms,5.790214196
4,8,,,,,,
8,1,0.00007459,1.007051382,13,13501.15809,75μs\n1s,7.446176163
8,2,0.00011366,1.117519829,5,9832.129415,114μs\n1.12s,6.075248155
8,4,0.00017894,1.326426697,1,7412.68971,179μs\n1.32s,6.057916812
8,8,0.00019961,1.720860372,0,8621.113028,200μs\n1.72s,6.095959109
16,1,0.00014799,3.968315721,13,26814.75587,148μs\n3.97s,7.448997992
16,2,0.00024044,4.428989139,19,18420.35077,240μs\n5.43s,3.266806915
16,4,0.00048812,4.930488105,3,10100.97538,488μs\n4.93s,3.262831914
16,8,0.00097376,5.816084914,0,5972.811488,974μs\n5.82s,3.325288296
32,1,0.00030854,14.6581688,17,47508.1636,309μs\n14.66s,5.736642842
32,2,0.00048924,16.75848428,7,34254.11715,489μs\n16.76s,4.398387474
32,4,0.00104543,18.73618739,2,17921.99133,1.05ms\n18.74s,4.221332365
32,8,0.00266516,20.89842469,0,7841.339615,2.67ms\n20.90s,4.131101785
