d,eps,EDM,ADM,FP,speedup,label
4,1,0.00004044,0.297303839,14,7351.726972,40us\n297ms
4,2,0.00004498,0.351555505,3,7815.818248,45us\n352ms
4,4,0.00005611,0.447140417,2,7968.996919,56us\n447ms
4,8,,,,,
8,1,0.00007459,0.967664986,13,12973.11953,75us\n968ms
8,2,0.00011366,1.077668631,5,9481.511799,110us\n1.08s
8,4,0.00017894,1.284292524,1,7177.224343,180us\n1.28s
8,8,0.00019961,1.671951113,0,8376.088937,200us\n1.67s
16,1,0.00014799,3.595826802,13,24297.76878,150us\n3.60s
16,2,0.00024044,3.890178092,19,16179.41312,240us\n3.89s
16,4,0.00048812,4.370342877,3,8953.418989,490us\n4.37s
16,8,0.00097376,5.17070677,0,5310.04228,970us\n5.17s
32,1,0.00030854,13.93039939,17,45149.41139,310us\n13.93s
32,2,0.00048924,15.35150194,7,31378.26413,490us\n15.35s
32,4,0.00104543,17.27186721,2,16521.30436,1.05ms\n17.27s
32,8,0.00266516,19.18012238,0,7196.611977,2.67ms\n19.18s
