d,eps,ADM,EDM,FP,speedup,label,combined
4,1,0.00015407,0.311428287,49,2021.342812,154μs\n311ms,1.847026656
4,2,0.00024466,1.059116013,47,4328.929997,245μs\n1.06s,1.48770335
4,4,0.00029628,1.371008089,27,4627.406806,296μs\n1.37ms,1.390279789
4,8,,,,,,
8,1,0.00031903,1.006299868,70,3154.248402,319μs\n1.01ms,1.369211237
8,2,0.00051174,3.57921207,78,6994.200316,512μs\n3.58s,1.131084185
8,4,0.0009362,16.50769474,63,17632.65834,936μs\n16.51s,1.089976193
8,8,0.00164514,21.23218098,37,12906.00252,1.65ms\n21.23s,1.062984281
16,1,,,,,,
16,2,,,,,,
16,4,,,,,,
16,8,,,,,,
32,1,,,,,,
32,2,,,,,,
32,4,,,,,,
32,8,,,,,,
