formula,d,eps,Delta,speedup,incr wall time,time per portion
Psi 1,16,2,4,1.2960640000000001,0.00065700000000000003,0.00016400000000000000
Psi 1,16,2,8,1.1531340000000001,0.00043399999999999998,0.00021699999999999999
Psi 1,16,2,16,1.0825089999999999,0.00030200000000000002,0.00030200000000000002
Psi 1,16,4,8,1.08400700,0.00065700000000000003,0.00032899999999999997
Psi 1,16,4,16,1.064391000,0.00046000000000000001,0.00046000000000000001
Psi 1,16,8,16,1.0452410000000001,0.00074500000000000000,0.00074500000000000000
Psi 1,32,2,4,2.035902000,0.00144300,0.00018000000000000001
Psi 1,32,2,8,1.664088000,0.00097900,0.00024499999999999999
Psi 1,32,2,16,1.338978000,0.00072199999999999999,0.00036099999999999999
Psi 1,32,2,32,1.0822160000000001,0.00058699999999999996,0.00058699999999999996
Psi 1,32,4,8,1.3274889999999999,0.00183600,0.00045899999999999999
Psi 1,32,4,16,1.147806000,0.00128600,0.000643000
Psi 1,32,4,32,1.057666000,0.00093199999999999999,0.00093199999999999999
Psi 1,32,8,16,1.0439060000000000,0.0025349999999999999,0.001268000
Psi 1,32,8,32,1.0208680000000001,0.00182400,0.00182400
Psi 1,64,2,4,3.4479299999999999,0.00309000,0.00019300000000000000
Psi 1,64,2,8,2.7029280000000000,0.0020860,0.0002610
Psi 1,64,2,16,2.0102850000000001,0.0015650000000000000,0.00039100000000000002
Psi 1,64,2,32,1.4487429999999999,0.0012999999999999999,0.00064999999999999997
Psi 1,64,4,8,2.0300620000000000,0.0041430000000000000,0.000518000
Psi 1,64,4,16,1.6129500000000001,0.0028969999999999998,0.00072400000000000003
Psi 1,64,4,32,1.280935000,0.0021970000000000002,0.0010980
Psi 1,64,8,16,1.287169000,0.0071170000000000001,0.0017790000000000000
Psi 1,64,8,32,1.109904000,0.00513500,0.00256800
Psi 1,128,2,4,6.4802549999999997,0.00639500,0.00020000000000000001
Psi 1,128,2,8,4.9485130000000002,0.0043249999999999999,0.00027000000000000000
Psi 1,128,2,16,3.467454000,0.0032710000000000000,0.00040900000000000002
Psi 1,128,2,32,2.303233000,0.0027399999999999998,0.00068499999999999995
Psi 1,128,4,8,3.7524199999999999,0.0088810000000000000,0.00055500000000000005
Psi 1,128,4,16,2.8439209999999999,0.0062249999999999996,0.00077800000000000005
Psi 1,128,4,32,2.0379250000000000,0.0048260000000000004,0.001207000
Psi 1,128,8,16,2.1813729999999998,0.016680000000000000,0.0020850000000000000
Psi 1,128,8,32,1.684576000,0.0120770,0.0030190000000000000
Psi 1,256,2,4,12.836293000000000,0.01296600,0.000203000
Psi 1,256,2,8,9.6779849999999996,0.0087480000000000006,0.00027300000000000002
Psi 1,256,2,16,6.6702310000000002,0.0066490000000000004,0.00041599999999999997
Psi 1,256,2,32,4.0745950000000004,0.0055890000000000002,0.00069899999999999997
Psi 1,256,4,8,7.2711839999999999,0.018185000000000000,0.00056800000000000004
Psi 1,256,4,16,5.3462769999999997,0.01273300,0.00079600000000000005
Psi 1,256,4,32,3.6339169999999998,0.0099190000000000007,0.001240000
Psi 1,256,8,16,4.0136930000000000,0.03538600,0.0022120000000000000
Psi 1,256,8,32,2.9094440000000001,0.025694999999999999,0.0032120000000000000
Psi 1,512,2,4,26.556374000000002,0.02610300,0.000204000
Psi 1,512,2,8,19.759796000000001,0.017613000000000000,0.00027500000000000002
Psi 1,512,2,16,13.014984000000000,0.013443000000000000,0.00042000000000000002
Psi 1,512,2,32,7.9359140000000004,0.011330000000000000,0.00070799999999999997
Psi 1,512,4,8,14.11943600,0.036852999999999997,0.00057600000000000001
Psi 1,512,4,16,10.438041000000000,0.025714000000000001,0.00080400000000000003
Psi 1,512,4,32,6.9098569999999997,0.020094999999999998,0.0012560000000000000
Psi 1,512,8,16,7.7427419999999998,0.073463000000000001,0.0022959999999999999
Psi 1,512,8,32,5.499925000,0.053275999999999997,0.003330000
Psi 2,16,2,4,1.252014000,0.00071000000000000002,0.0001780
Psi 2,16,2,8,1.08678000,0.00048100,0.000241000
Psi 2,16,2,16,0.99621400000000004,0.00034800,0.00034800
Psi 2,16,4,8,1.0251349999999999,0.00069899999999999997,0.00035000000000000000
Psi 2,16,4,16,0.99950399999999995,0.00049799999999999996,0.00049799999999999996
Psi 2,16,8,16,1.002110000,0.00078500000000000000,0.00078500000000000000
Psi 2,32,2,4,2.0204659999999999,0.0015679999999999999,0.000196000
Psi 2,32,2,8,1.6098980000000001,0.0010950000000000001,0.00027399999999999999
Psi 2,32,2,16,1.2619060000000000,0.00083400000000000000,0.00041700000000000000
Psi 2,32,2,32,1.002012000,0.00069600000000000000,0.00069600000000000000
Psi 2,32,4,8,1.300653000,0.00194000,0.00048500000000000003
Psi 2,32,4,16,1.1062090000000000,0.00138000,0.000690000
Psi 2,32,4,32,0.99983900000000003,0.0010200000000000001,0.0010200000000000001
Psi 2,32,8,16,1.0205430000000000,0.0026619999999999999,0.0013309999999999999
Psi 2,32,8,32,1.005172000,0.0019150000000000000,0.0019150000000000000
Psi 2,64,2,4,3.6211050000000000,0.0033560000000000000,0.00021000000000000001
Psi 2,64,2,8,2.7443730000000000,0.0023449999999999999,0.00029300000000000002
Psi 2,64,2,16,1.9705480000000000,0.0018170000000000000,0.00045399999999999998
Psi 2,64,2,32,1.3802980000000000,0.0015499999999999999,0.00077499999999999997
Psi 2,64,4,8,2.1227209999999999,0.0044260000000000002,0.00055300000000000000
Psi 2,64,4,16,1.6523230000000000,0.0031730000000000000,0.00079299999999999998
Psi 2,64,4,32,1.2821950000000000,0.0024650000000000002,0.0012329999999999999
Psi 2,64,8,16,1.3211500000000000,0.0074840000000000002,0.0018710000000000001
Psi 2,64,8,32,1.1177490000000001,0.0054570000000000000,0.0027290000000000001
Psi 2,128,2,4,6.8154100000000000,0.0068719999999999996,0.00021499999999999999
Psi 2,128,2,8,5.0503999999999998,0.0047819999999999998,0.00029900000000000000
Psi 2,128,2,16,3.4418769999999999,0.0037169999999999998,0.00046500000000000003
Psi 2,128,2,32,2.2322169999999999,0.0031830000000000001,0.00079600000000000005
Psi 2,128,4,8,3.8388870000000002,0.0094339999999999997,0.00059000000000000003
Psi 2,128,4,16,2.84020700,0.0067600000000000004,0.00084500000000000005
Psi 2,128,4,32,1.9980119999999999,0.0053460000000000001,0.001337000
Psi 2,128,8,16,2.2066270000000001,0.017409999999999998,0.002176000
Psi 2,128,8,32,1.696457000,0.012696000000000001,0.0031740000000000002
Psi 2,256,2,4,13.24600200,0.013672000000000000,0.00021400000000000000
Psi 2,256,2,8,9.7457379999999993,0.0094339999999999997,0.00029500000000000001
Psi 2,256,2,16,6.4777849999999999,0.0073140000000000002,0.00045700000000000000
Psi 2,256,2,32,3.9887830000000002,0.0062909999999999997,0.00078600000000000002
Psi 2,256,4,8,7.2850289999999998,0.01941200,0.00060700000000000001
Psi 2,256,4,16,5.2553700000000001,0.013872000000000001,0.00086700000000000004
Psi 2,256,4,32,3.5155609999999999,0.011004000000000000,0.0013749999999999999
Psi 2,256,8,16,4.0482079999999998,0.036866999999999997,0.0023040000000000001
Psi 2,256,8,32,2.9427180000000002,0.026924000000000000,0.0033649999999999999
Psi 2,512,2,4,27.25968800,0.027156000000000000,0.00021200000000000000
Psi 2,512,2,8,20.010895000000001,0.0186150,0.00029100000000000003
Psi 2,512,2,16,13.12776500,0.01441000,0.00044999999999999999
Psi 2,512,2,32,7.9383850000000002,0.012279000000000000,0.00076700000000000000
Psi 2,512,4,8,15.04194100,0.039659000000000000,0.00062000000000000000
Psi 2,512,4,16,10.67034100,0.028427000000000001,0.00088800000000000001
Psi 2,512,4,32,6.8730169999999999,0.022776999999999999,0.001424000
Psi 2,512,8,16,8.0280860000000001,0.07672200,0.0023980000000000000
Psi 2,512,8,32,5.6644300000000003,0.05612400,0.0035079999999999998
Psi 3,16,2,4,1.3560369999999999,0.00083000000000000001,0.000208000
Psi 3,16,2,8,1.021121000,0.00067400000000000001,0.00033700000000000001
Psi 3,16,2,16,0.75738399999999995,0.00066000000000000000,0.00066000000000000000
Psi 3,16,4,8,0.89355799999999996,0.00093300,0.000466000
Psi 3,16,4,16,0.77709499999999998,0.00083500000000000002,0.00083500000000000002
Psi 3,16,8,16,0.86351100000000003,0.00093599999999999998,0.00093599999999999998
Psi 3,32,2,4,3.0410240000000002,0.00147500,0.000184000
Psi 3,32,2,8,1.7854200000000000,0.00143900,0.00036000000000000002
Psi 3,32,2,16,1.217525000,0.0012920000000000000,0.00064599999999999998
Psi 3,32,2,32,0.86499999999999999,0.00124900,0.00124900
Psi 3,32,4,8,1.5348850000000001,0.0021990000000000000,0.00055000000000000003
Psi 3,32,4,16,1.1020540000000001,0.00192500,0.00096299999999999999
Psi 3,32,4,32,0.88075499999999995,0.0016780000000000000,0.0016780000000000000
Psi 3,32,8,16,0.96540700000000002,0.0031800000000000001,0.001590000
Psi 3,32,8,32,0.863148000,0.0026220000000000002,0.0026220000000000002
