d,eps,ADM,EDM,FP,speedup,label,combined
4,1,0.00002526,0.317754576,16,12579.35773,25μs\n318ms,5.857423846
4,2,0.00003762,0.369766927,9,9828.998585,38μs\n370ms,4.319448902
4,4,0.00005331,0.462353787,2,8672.92792,53μs\n462ms,4.039342435
4,8,,,,,,
8,1,0.00005981,1.015306165,17,16975.52525,60μs\n1.02s,5.689881552
8,2,0.00012378,1.139749327,12,9207.86336,123μs\n1.14s,3.73909536
8,4,0.00020128,1.347459898,4,6694.454978,201μs\n1.35s,3.614154889
8,8,0.00022735,1.734365783,0,7628.615715,227μs\n1.73s,3.638724955
16,1,0.00012667,3.683759913,15,29081.5498,127μs\n3.68s,6.42159636
16,2,0.00027648,4.101149988,11,14833.4418,277μs\n4.10s,4.146096866
16,4,0.00053618,4.546975124,4,8480.314678,536μs\n4.55s,4.17998371
16,8,0.00103586,5.400118325,0,5213.173908,1.04ms\n5.40s,4.197219085
32,1,0.00026962,14.59496627,14,54131.61585,267μs\n14.60s,6.795934782
32,2,0.00058347,17.04206057,12,29208.11794,584μs\n17.04s,4.395753368
32,4,0.00116024,18.77486335,1,16181.87905,1.16ms\n18.77s,4.400465742
32,8,0.00275123,21.13248034,0,7681.102759,2.75ms\n21.13s,4.494143363
